,%IncMSE,IncNodePurity
PublishedDate,0.041712783679045,334.299267251368
Duration,0.131998063064502,759.971467131686
views_2_hours,0.418989032503388,1790.30278712502
hog_0,0.003015132684466,48.8514148177348
hog_1,0.002846356994679,54.4602367037952
hog_4,0.004630939965135,87.4073460317053
hog_11,0.002453246935529,65.0181173041184
hog_13,0.003485812937051,74.81539519516
hog_21,0.001258787891252,85.8007583820075
hog_40,0.005076107454075,98.441200365448
hog_60,0.001846902609857,78.1826621726549
hog_61,0.000911696657657,62.8377830825196
hog_62,0.003394555222093,88.9387607086536
hog_78,0.000503195219664,63.5485043062265
hog_81,0.000480336863318,39.4254842135142
hog_89,0.00126252221112,55.7827897812441
hog_94,0.004502690060335,95.4506633514549
hog_105,0.002901335678852,75.3641047490943
hog_106,0.003259433359072,70.6940842464572
hog_108,0.002571190294913,48.1531332347527
hog_116,0.000842357646852,51.9552870493012
hog_117,0.000719909146431,39.6293341487857
hog_125,0.002530293896633,43.9405699626415
hog_132,0.000579301615171,58.6835242371403
hog_133,0.003055596592487,76.1499594227303
hog_138,0.001955795591733,59.7133618621994
hog_139,0.003773313078101,68.2510454962697
hog_144,0.000685174361805,40.4027703397286
hog_152,0.002074473398589,44.485456414259
hog_155,0.000999784762974,54.4161665122494
hog_156,0.001772235682085,61.9049803639733
hog_165,0.001256318732481,55.1755793484222
hog_166,0.001115476055639,61.9974932343885
hog_177,0.002469874673548,54.8596514320224
hog_178,0.001199996231339,59.5130301754838
hog_182,0.002494338882038,54.9523508256831
hog_183,0.00402303253946,68.9552919492369
hog_195,0.002569097103222,65.924916684769
hog_204,0.001522732521587,56.960587048764
hog_205,0.000157499190362,52.8106141163662
hog_214,0.003148800588251,78.2944618177023
hog_215,0.001336497552124,74.4249951840958
hog_241,0.003376112395895,93.66577995055
hog_242,0.002651140634997,92.2319387482324
hog_259,0.001760884657339,69.30533245603
hog_271,0.001565829168911,73.8437502883845
hog_279,0.003498755311897,63.9666482650875
hog_287,0.002101452338762,68.9299806533271
hog_295,0.001668064090617,87.7433040226627
hog_303,0.002498483037039,73.9681342852368
hog_304,0.002877035378325,73.2680697667089
hog_306,0.000618151643503,76.0966466493662
hog_314,0.003697326787668,69.0707452171311
hog_316,0.003556534765622,79.268643046128
hog_330,0.002105346611999,61.1006004946036
hog_336,0.001136246218339,58.3083379934224
hog_337,0.001788480021999,62.0776815506963
hog_341,0.006483421165969,145.791630472978
hog_342,0.007773507031788,123.111202593739
hog_350,0.005216902775626,98.6011092409751
hog_351,0.002194918598522,91.4741952180114
hog_359,0.007463608218358,113.387495948374
hog_363,0.00179740174471,57.2135285090604
hog_364,0.001441286409182,61.6314830152997
hog_368,0.001623150996864,68.7506996120079
hog_375,0.002983297352224,59.0904848983903
hog_376,0.001842848567275,58.8431972920372
hog_378,0.001292412583396,66.6961031521437
hog_386,0.002547958671742,54.7780333064925
hog_402,0.001270565607484,67.5747737689419
hog_403,0.00142651342674,56.8936411702178
hog_412,-0.000131815861392,71.5202936387914
hog_413,0.001671128012738,77.3334035370509
hog_442,0.000772990120911,74.810512067544
hog_452,0.006098148734513,97.0141759125269
hog_453,0.005554293594486,94.2071184716376
hog_454,0.011920242037052,112.443891229448
hog_469,0.003654656331664,70.3917200719015
hog_476,0.001349018375614,84.0247671209328
hog_477,0.001173976691568,60.7497363929639
hog_485,0.001701021625684,59.08716341502
hog_492,0.004763004179332,111.799643842153
hog_495,0.001207060050339,70.6755535917543
hog_499,0.003100522842613,84.8494840901706
hog_512,0.002000622708174,71.0236752732376
hog_514,0.001611614424789,81.9483886260421
hog_522,0.001436640368214,92.8109417839101
hog_523,0.001962772927446,86.0704135176169
hog_526,0.002353644970048,64.0603795013464
hog_549,0.001533203333812,78.2339053819009
hog_557,0.000310160438029,69.6824122136555
hog_576,0.002006292640007,65.3912072529912
hog_584,0.001788318697788,64.3033321837546
hog_640,0.001961423343634,94.1694797853363
hog_641,0.008030405705499,130.281268619326
hog_643,-0.000679477483286,84.096471258354
hog_649,0.000784316853818,83.7251289312554
hog_651,0.004509049156939,95.7235103503295
hog_655,0.001638319971428,89.4197539453922
hog_657,0.007752965492703,112.646259737547
hog_658,0.003482777932269,88.7591497207964
hog_659,0.002990589738713,80.1952547374353
hog_665,0.001030307984494,95.2626862308094
hog_666,0.002655140440846,93.5853881437638
hog_668,0.005227894026859,103.569012369822
hog_669,0.00433856732527,98.9022060206072
hog_673,0.005388077920335,102.182273437373
hog_674,0.004177615867818,97.9468464627371
hog_675,0.003291370697035,74.9068808401531
hog_676,0.004793120484482,82.4296845107661
hog_677,0.002650578333607,77.2391912863804
hog_678,0.004357940871513,90.8581418093728
hog_686,0.000511651616907,81.135935596382
hog_697,0.00889678118356,83.0073855774974
hog_698,0.000704590319717,81.161705839381
hog_702,0.004603707703866,76.0619766371431
hog_703,0.003484039824768,77.5872980809576
hog_704,0.00446584837008,79.4265293447048
hog_705,0.005928828213586,103.62805138321
hog_711,0.002711909793991,77.2002460652977
hog_716,0.00162558631129,90.0354797348783
hog_719,0.00278261224157,64.6302972313102
hog_724,0.006944637026187,66.2667522891692
hog_725,0.004551582159247,94.6252711399401
hog_738,0.003399954964951,77.4548622418005
hog_743,0.003195246575391,79.3643094476136
hog_746,0.003257054362001,70.6065229039877
hog_747,0.001907506239101,79.7697966844324
hog_755,0.003286983393715,73.2260267918215
hog_774,0.003504474732715,72.450055043072
hog_782,0.004318115641965,68.7204246716176
hog_783,0.002854341165598,69.2655423501852
hog_788,0.003061671913528,91.6118527545305
hog_791,0.003064370482183,64.7678041256435
hog_797,0.001826656182632,87.24180485137
hog_810,0.002444486759102,67.7125794248402
hog_815,0.003050452988331,84.6570670951307
hog_818,0.001446650247647,66.8052365636542
hog_819,0.002313820799923,87.2454999392568
hog_825,0.001999118528189,71.6653597409843
hog_827,0.00150234908295,70.8274229522294
hog_828,0.00144677195276,88.5146822600262
hog_829,0.002848992330001,86.6739848308344
hog_831,0.001336007749872,77.1348529132395
hog_832,0.002283194989748,86.7974273554742
hog_844,0.0003076291414,84.0218402672107
hog_849,0.002771779816422,95.0685089032612
hog_852,0.001609498123674,65.1655181084763
hog_855,0.002396010137139,87.1754151261614
hog_856,0.002865084014499,91.8166119219441
hog_857,0.001819763843015,101.299326084523
hog_858,0.001252281772892,90.176341031324
hog_859,0.005761429242196,95.6813443957535
hog_860,0.001378887054687,80.0141291586849
hog_863,0.004362373265715,96.4933892240271
cnn_0,0,0
cnn_9,0.000111455913436,4.88907067966883
cnn_10,0.714355608880787,2960.63118292898
cnn_12,0.606897148239206,1948.02857559117
cnn_17,1.14204825577128,5360.27640130243
cnn_19,0.086109907803155,290.116764923192
cnn_20,7.06418596002615E-05,6.137794697287
cnn_25,0.316275529699364,957.869183420723
cnn_35,0,0
cnn_36,0,0.011901242420765
cnn_37,0,0
cnn_39,3.78724592689553E-05,1.68943149441699
cnn_65,0,0
cnn_68,0.081921202990669,341.660627011264
cnn_86,0.296310510570989,1083.10335096888
cnn_88,0.070221167493816,297.709504844547
cnn_89,0.928420660937732,2531.7292364112
pct_nonzero_pixels,0.004960320003762,90.1321655986955
mean_pixel_val,0.016996521013612,121.556739659901
sd_pixel_val,0.009394824156351,109.181773398498
min_red,0,0
max_red,0,0.077693868938857
mean_red,0.008497953335834,116.0058090181
sd_red,0.012697609124731,126.613718520932
min_green,0,0
max_green,-9.07524332080322E-05,0.784306668083056
mean_green,0.020365912422564,134.668212242527
sd_green,0.010714458303659,94.0516589536042
min_blue,0,0
max_blue,4.01840875495938E-05,0.630152782872547
mean_blue,0.008879175776416,105.785708507753
sd_blue,0.011861887767041,121.203323380506
edge_avg_value,0.002430878419412,105.959754694123
doc2vec_0,0.001075347090601,102.182040642755
doc2vec_1,0.004037043777788,112.820617838761
doc2vec_2,0.002567875658007,123.424463191645
doc2vec_3,0.004865389177971,120.849836723651
doc2vec_4,0.001062681833301,110.877992451871
doc2vec_5,0.002283988016936,86.1072253299877
doc2vec_6,0.00285115157298,114.872253883286
doc2vec_7,-0.000188776518723,103.242271314467
doc2vec_8,0.003845104903356,124.77446710468
doc2vec_9,0.004483435292989,120.136653971697
doc2vec_10,0.011476238166898,149.570256713584
doc2vec_11,0.00385425121783,117.177629072269
doc2vec_12,0.002981614602426,120.508851291302
doc2vec_13,0.00306006579934,118.944140052847
doc2vec_14,0.001599021049383,103.03591073446
doc2vec_15,0.005981090848147,123.922783388407
doc2vec_16,0.00111929185117,122.199815591632
doc2vec_17,0.005249604350088,113.270126063917
doc2vec_18,0.007334804627924,123.366914097797
doc2vec_19,-0.000361606277456,101.46128968226
punc_num_..1,0.005377684532453,26.8023336921921
punc_num_..2,0.000143171918485,0.611714331275483
punc_num_..3,5.16387435282026E-05,1.63144647813057
punc_num_..4,2.20086506111275E-05,0.620074937024253
punc_num_..5,0,0.202041659492131
punc_num_..6,0.000218975900218,4.41149094754591
punc_num_..7,0.000584211729095,14.6198411761661
punc_num_..8,0.00017604700807,1.77306610052536
punc_num_..9,6.67417288454166E-05,1.47237627569869
punc_num_..10,-5.36106035632722E-06,0.02162225698039
punc_num_..11,0.008927631517447,79.7893512167632
punc_num_..12,0.020511799713175,93.4528282990704
punc_num_..13,0.000501221654979,12.9446410500774
punc_num_.,0.002044254170696,14.3015349278287
punc_num_..14,0.001219497380288,12.603034528971
punc_num_..15,0.004040718708066,17.3570405698513
punc_num_..16,2.3960198495584E-06,0.043767099700341
punc_num_..17,0,0
punc_num_..18,0,0.00046468071206
punc_num_..19,0,0
punc_num_..20,0.00017834179816,4.01001297030605
punc_num_..21,0.010949308706563,85.2223952097128
punc_num_..22,-7.74425496870017E-05,4.16900350260159
punc_num_..23,0,0
punc_num_..24,0.000220086735358,2.80440912487282
punc_num_..25,0,0
punc_num__,0,0
punc_num_..26,0,0.047148115154128
punc_num_..27,0,0
punc_num_..28,0.297418100797957,787.690162683632
punc_num_..29,0,0
punc_num_..30,0,0
num_words,0.085208349120452,399.702615143597
num_chars,0.061957283967452,318.980252269345
num_stopwords,0.004063887110438,45.0292739223373
num_uppercase_chars,0.039626062756802,166.016482275823
num_uppercase_words,0.006857620493318,71.0944457625004
num_digit_chars,0.057373065527372,230.24319205795
Num_Subscribers_Base_low,0.008755226995631,33.0262619686376
Num_Subscribers_Base_low_mid,0.629083915778849,1235.20420993275
Num_Subscribers_Base_mid_high,0.318635609163794,1468.99251878239
Num_Views_Base_low,0.020705555716648,53.9286634829972
Num_Views_Base_low_mid,0.015871567743116,39.5922354525028
Num_Views_Base_mid_high,1.31871960117681,6077.26021081876
avg_growth_low,0.712627018896515,2124.33829151801
avg_growth_low_mid,0.660653758019346,1694.34147452449
avg_growth_mid_high,0.127981729299478,305.949946525271
count_vids_low,0.004867818801417,23.9947744308947
count_vids_low_mid,0.063593551607118,180.516202027611
count_vids_mid_high,0.08211944096269,199.435574633521
